Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
AB074915=JAK-Sai. 4c.JPN.Saitama.hum(*).CG.1994
AB074917=JKK-Sap. 4c.JPN.Hokkaido.hum(*).CG.2000
AB074918=JKN-Sap. 3a.JPN.Hokkaido.hum(*).CG.2001
AB074920=JMY-Haw. 3a.USA.Hawaii.hum(*).CG.2001
AB075967=V091ORF1. 4b.VNM.hum
AB080575=HE-JI4. 4c.JPN.Tochigi.hum(*).CG.2000
AB082545=HE-J1. 4c.JPN.hum(*)
AB082546=HE-JA1. 4c.JPN.Hokkaido.hum(*)
AB082547=HE-JA2. 4f.JPN.Hokkaido.hum(*)
AB082549=HE-JA4. 3a.JPN.Hokkaido.hum(*)
AB082550=HE-JA5. 3b.JPN.Iwate.hum(*)
AB082551=HE-JA6. 3b.JPN.Iwate.hum(*)
AB082552=HE-JA7. 3a.JPN.Iwate.hum(*)
AB082553=HE-JA8. 3a.JPN.Iwate.hum(*)
AB082554=HE-JA9. 3b.JPN.Fukushima.hum(*)
AB082556=HE-JA11. 3b.JPN.Yamanashi.hum
AB082557=HE-JA1. 4c.JPN.Hokkaido.hum(*)
AB082558=HE-JA2. 4f.JPN.Hokkaido.hum(*)
AB082560=HE-JA4. 3a.JPN.Hokkaido.hum(*)
AB082561=HE-JA5. 3b.JPN.Iwate.hum(*)
AB082562=HE-JA6. 3b.JPN.Iwate.hum(*)
AB082563=HE-JA7. 3a.JPN.Iwate.hum(*)
AB082564=HE-JA8. 3a.JPN.Iwate.hum(*)
AB082565=HE-JA9. 3b.JPN.Fukushima.hum(*)
AB082567=HE-JA11. 3b.JPN.Yamanashi.hum
AB089824=HE-JA10. 3a.JPN.Tokio.hum(*).CG.1993
AB091394=JJT-Kan. 3b.JPN.Kanagawa.hum(*).CG.1998
AB091395=JSN-Sap-FH. 4c.JPN.Hokkaido.hum(*).CG.2002
AB097811=swj13-1. 4c.JPN.Hokkaido.pig(*).CG.2002
AB097812=HE-JA1. 4c.JPN.Hokkaido.hum(*).CG.1997
AB099347=HE-JK4. 4c.JPN.Tochigi.hum(*).CG.2002
AB108537=CCC220. 4g.CHN.Changchun.hum(*).CG.2000
AB108656=HE-JA16. 3a.JPN.Hokkaido.hum(*)
